id,nombre,dni,carrera,semestre,nota1,nota2,nota3,nota4
1,Beatriz Ortiz Medina,65135251,Computacion,9,9,10,13,14
2,Ricardo Cruz Rojas,25986278,Electronica,9,20,19,15,15
3,Laura Vega Fernandez,44735102,Quimica,9,12,19,20,5
4,Diego Alvarez Salinas,56829149,Electronica,5,14,7,14,10
5,Helena Mora Vargas,79127933,Industrial,3,13,14,8,2
6,Valentina Diaz Rios,59087257,Mecanica,1,20,16,14,13
7,Mauricio Cabrera Diaz,85408776,Ambiental,7,16,9,11,14
8,Camila Silva Aguilar,43391524,Computacion,4,15,16,4,11
9,Alejandro Perez Martinez,33438718,Civil,4,13,12,14,10
10,Hugo Cabrera Cruz,45096987,Electronica,10,19,13,11,12
11,Ana Castillo Alvarez,75540995,Ambiental,1,18,12,16,20
12,Isabella Flores Mendoza,10689663,Biomedica,9,11,11,16,15
13,Natalia Chavez Martinez,91189419,Computacion,1,14,3,10,5
14,Andres Paredes Rodriguez,17614485,Ambiental,6,18,12,12,20
15,Andres Jimenez Silva,25971937,Ambiental,7,9,14,11,10
16,Diego Cabrera Reyes,30402195,Civil,8,12,13,12,14
17,Camila Paredes Delgado,32139115,Biomedica,2,19,13,13,13
18,Valentina Mendoza Silva,15406576,Quimica,8,14,15,10,11
19,Cecilia Garcia Lopez,91395702,Mecanica,10,8,12,5,16
20,Ana Vargas Campos,26016007,Sistemas,1,8,15,11,15
21,Lucia Guerrero Reyes,35194494,Mecanica,6,7,9,14,6
22,Julia Delgado Molina,41304936,Electrica,9,17,15,9,12
23,Hugo Paredes Delgado,88826491,Mecanica,6,6,14,16,16
24,Patricio Garcia Alvarez,37128741,Sistemas,5,7,13,16,13
25,Renata Ortiz Fuentes,90109311,Quimica,7,16,14,6,13
26,Ivan Alvarez Salinas,80650104,Mecanica,6,17,18,14,16
27,Diego Fernandez Sanchez,22318875,Electrica,5,10,7,13,13
28,Diego Guerrero Herrera,27628650,Quimica,7,12,9,15,12
29,Matias Pena Fuentes,88001115,Sistemas,8,10,9,9,11
30,Ana Munoz Vega,37871789,Industrial,7,7,11,12,15
31,Sofia Soto Torres,13435635,Mecanica,4,14,11,8,13
32,Ivan Rojas Vega,83808224,Ambiental,3,12,11,8,20
33,Ivan Soto Diaz,69348644,Quimica,2,12,17,13,13
34,Sofia Rojas Perez,95458653,Industrial,8,11,12,11,15
35,Ignacio Jimenez Pena,92709925,Biomedica,7,11,15,20,3
36,Ricardo Morales Diaz,78538081,Biomedica,6,10,8,12,8
37,Ivan Herrera Campos,51902433,Industrial,7,15,10,13,14
38,Hugo Aguilar Cabrera,43966306,Electronica,9,13,11,11,12
39,Ana Guerrero Castillo,94267174,Ambiental,7,14,16,10,12
40,Gabriela Chavez Fuentes,35206930,Industrial,7,14,14,12,13
41,Felipe Cabrera Silva,27474603,Mecanica,6,7,18,18,15
42,Andrea Martinez Soto,78153008,Mecanica,3,10,16,14,13
43,Cristian Flores Gonzalez,82576463,Quimica,5,15,15,17,12
44,Carlos Mendoza Fernandez,51177701,Ambiental,6,10,13,10,11
45,Rodrigo Mora Sanchez,91066079,Ambiental,1,16,8,14,9
46,Hugo Rios Torres,12380308,Industrial,10,14,9,17,11
47,Gabriela Ramirez Gonzalez,88745986,Computacion,1,16,13,7,11
48,Irene Diaz Rojas,79575638,Sistemas,7,10,7,12,11
49,Cecilia Ortiz Salinas,38770558,Industrial,1,10,10,2,11
50,Sebastian Rios Delgado,68260713,Quimica,8,16,11,18,10
51,Patricio Flores Diaz,97192816,Mecanica,4,13,8,8,12
52,Nicolas Campos Medina,61728154,Biomedica,7,11,14,7,19
